Index,LengthOfURL,LengthOfDomain,ObfuscationRate,CharacterProbabilityInURL,LengthOfTLD,ContainsObfuscation,CharacterContinuityRate,CountOfSubdomains,LetterCountInURL,IsDomainAnIP,NumberOfiFrames,CountOfObfuscatedChars,TopLevelDomain,LegitimacyProbabilityOfTLD,Target
42078,24.0,18.0,0.0,0.060664401,3.0,,1.0,,12.0,0.0,0.0,0.0,com,,0
26894,,20.0,,,2.0,,,2.0,13.0,,0.0,0.0,au,0.0100856,1
31314,38.0,29.0,0.0,0.0443066,3.0,0.0,0.68,1.0,20.0,,0.0,0.0,com,0.5229071,0
15170,32.0,25.0,,0.057190494,3.0,0.0,,1.0,19.0,0.0,2.0,0.0,com,0.5229071,1
33414,30.0,23.0,0.0,,,0.0,,2.0,16.0,0.0,,0.0,,0.0115013,1
43214,,29.0,,0.053159849,,,1.0,,23.0,0.0,3.0,0.0,com,0.5229071,1
21227,44.0,36.0,0.0,0.065583404,,0.0,0.787878788,1.0,34.0,,0.0,,io,0.0129268,0
52293,25.0,18.0,,0.061071618,3.0,0.0,1.0,1.0,12.0,0.0,,0.0,com,0.5229071,1
48344,,35.0,0.0,0.054875624,3.0,,0.225806452,,29.0,,,0.0,app,0.001502,0
44896,21.0,14.0,,0.070305329,3.0,0.0,,1.0,8.0,,3.0,0.0,com,0.5229071,1
36570,40.0,33.0,0.0,0.037649357,,0.0,0.862068966,1.0,18.0,,0.0,0.0,com,0.5229071,0
14406,,,0.0,0.053595027,2.0,,0.785714286,,,0.0,0.0,0.0,,0.0100856,1
8297,34.0,25.0,,,3.0,0.0,0.80952381,1.0,,,0.0,0.0,com,,0
14940,71.0,,0.0,,3.0,0.0,0.7,1.0,56.0,,0.0,,,0.5229071,0
53124,82.0,74.0,0.0,0.03384229,,,0.15942029,2.0,61.0,,,0.0,link,0.0003306,0
16404,26.0,19.0,0.0,,,,1.0,1.0,13.0,0.0,2.0,0.0,,0.0799628,1
51511,23.0,16.0,0.0,,3.0,0.0,1.0,1.0,10.0,0.0,3.0,0.0,org,0.0799628,1
43707,24.0,17.0,0.0,0.053254608,,,,,10.0,0.0,1.0,0.0,,0.5229071,1
3607,,25.0,0.0,0.060317004,3.0,0.0,1.0,,19.0,0.0,,0.0,com,0.5229071,1
40826,36.0,28.0,0.0,0.063495972,3.0,0.0,,1.0,,,0.0,0.0,com,0.5229071,0
13297,27.0,20.0,,0.060745196,3.0,0.0,,1.0,14.0,0.0,0.0,0.0,,0.5229071,1
17162,32.0,25.0,0.0,0.053041284,3.0,0.0,1.0,1.0,19.0,0.0,4.0,0.0,com,0.5229071,1
31948,49.0,24.0,0.0,0.053467619,3.0,0.0,0.85,1.0,30.0,,0.0,,com,0.5229071,0
43054,20.0,,,0.047294309,2.0,0.0,1.0,1.0,7.0,0.0,2.0,,fr,0.0141483,1
21475,40.0,32.0,0.0,0.058471732,,,0.571428571,,30.0,0.0,0.0,0.0,com,0.5229071,0
33209,81.0,30.0,0.0,0.054315892,2.0,,0.333333333,1.0,62.0,0.0,,0.0,me,0.0036375,0
43272,40.0,31.0,0.0,0.060134984,,0.0,0.5,,,0.0,0.0,,,0.0059772,0
1947,34.0,27.0,0.0,0.058298633,3.0,0.0,0.421052632,1.0,,0.0,,0.0,,,1
40208,23.0,16.0,0.0,0.058201955,3.0,0.0,1.0,,10.0,0.0,3.0,0.0,com,0.5229071,1
48366,20.0,,0.0,0.079231087,3.0,,,1.0,7.0,0.0,0.0,0.0,org,0.0799628,1
34152,29.0,22.0,0.0,0.05550284,3.0,0.0,0.785714286,2.0,15.0,0.0,1.0,0.0,edu,,1
46363,39.0,30.0,0.0,0.054329322,,0.0,0.769230769,1.0,24.0,0.0,0.0,0.0,,0.5229071,0
4243,24.0,17.0,0.0,0.054155537,3.0,,1.0,1.0,,0.0,0.0,,com,0.5229071,1
45610,,18.0,0.0,0.068064885,3.0,,1.0,1.0,12.0,0.0,0.0,0.0,com,,1
51583,93.0,19.0,0.0,,,0.0,0.733333333,0.0,73.0,0.0,,0.0,com,0.5229071,0
32900,25.0,18.0,0.0,0.063428309,3.0,0.0,1.0,1.0,12.0,0.0,2.0,0.0,com,0.5229071,1
444,30.0,,0.0,0.06149049,,0.0,,,17.0,,0.0,,com,0.5229071,1
4687,30.0,23.0,,0.06296789,3.0,0.0,,1.0,17.0,0.0,1.0,0.0,com,,1
38801,28.0,21.0,,0.06115824,,0.0,1.0,,15.0,0.0,,0.0,com,,1
4572,22.0,15.0,0.0,0.064541136,3.0,,1.0,1.0,,,4.0,0.0,com,0.5229071,1
25201,60.0,42.0,0.0,0.036977168,3.0,0.0,0.552631579,1.0,34.0,0.0,0.0,0.0,com,0.5229071,0
53926,35.0,,0.0,,2.0,0.0,,2.0,21.0,0.0,,,uk,,1
23567,,,0.0,0.056831764,3.0,0.0,0.533333333,0.0,,0.0,0.0,0.0,com,0.5229071,0
3594,27.0,20.0,0.0,0.060249268,,0.0,1.0,1.0,14.0,,,,com,0.5229071,1
54602,,,0.0,,,,0.842105263,2.0,19.0,0.0,12.0,0.0,ar,0.0020445,1
49897,21.0,14.0,,0.054245398,3.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,dev,0.0009613,1
15537,25.0,18.0,0.0,0.058831524,3.0,0.0,,1.0,11.0,0.0,0.0,,,0.5229071,1
27262,,28.0,0.0,,,0.0,0.875,,23.0,0.0,,0.0,app,0.001502,0
7374,36.0,29.0,0.0,0.062838455,,,1.0,1.0,23.0,0.0,,0.0,,0.5229071,1
35805,19.0,13.0,0.0,0.051713328,3.0,0.0,1.0,1.0,7.0,0.0,0.0,,,0.5229071,0
25858,47.0,39.0,0.0,0.062964876,3.0,0.0,,1.0,35.0,,0.0,0.0,com,0.5229071,0
8812,29.0,22.0,0.0,0.037051304,3.0,0.0,0.611111111,,20.0,,0.0,,org,0.0799628,0
41905,26.0,19.0,,,2.0,,,1.0,13.0,0.0,0.0,0.0,it,0.012178,1
54232,,20.0,0.0,0.06273652,3.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,net,0.0384199,0
44618,20.0,13.0,0.0,,2.0,0.0,1.0,1.0,7.0,0.0,2.0,0.0,ai,,1
39750,32.0,25.0,0.0,0.065008904,2.0,0.0,0.833333333,,18.0,0.0,,0.0,uk,0.028555,1
35506,25.0,18.0,0.0,,3.0,0.0,1.0,1.0,12.0,0.0,4.0,0.0,org,,1
28379,66.0,,0.0,,3.0,0.0,0.666666667,0.0,33.0,0.0,0.0,,org,0.0799628,0
50162,,10.0,0.0,0.051693109,2.0,0.0,,1.0,,0.0,,0.0,cl,0.0012193,0
29477,99.0,,,0.040863581,,,0.25,3.0,50.0,0.0,0.0,0.0,page,,0
55471,,17.0,0.0,0.057648394,3.0,,1.0,,11.0,0.0,4.0,0.0,,0.5229071,1
52120,24.0,17.0,0.0,0.061210136,3.0,0.0,1.0,1.0,,0.0,1.0,0.0,,0.5229071,1
20435,26.0,19.0,0.0,,,0.0,0.5,2.0,11.0,0.0,8.0,0.0,,0.0230451,1
17971,38.0,30.0,0.0,0.064744778,5.0,0.0,0.625,1.0,28.0,0.0,0.0,0.0,world,0.0002282,0
7938,28.0,22.0,,0.060631762,4.0,,0.769230769,2.0,15.0,0.0,0.0,0.0,,9.8e-06,0
25798,26.0,19.0,0.0,,,0.0,1.0,1.0,13.0,0.0,0.0,0.0,,0.0003954,1
11462,23.0,16.0,,0.049390532,3.0,0.0,1.0,1.0,10.0,0.0,2.0,0.0,app,0.001502,1
36792,76.0,19.0,0.039,0.038663063,3.0,1.0,1.0,0.0,,0.0,,3.0,org,,0
38996,30.0,,0.0,,3.0,,1.0,1.0,17.0,0.0,0.0,0.0,com,0.5229071,1
39679,33.0,24.0,0.0,0.040804723,3.0,0.0,0.85,1.0,15.0,,0.0,0.0,com,0.5229071,0
18000,31.0,24.0,0.0,0.054890911,2.0,0.0,0.529411765,1.0,17.0,0.0,,0.0,,,1
18263,324.0,9.0,,,2.0,0.0,,0.0,245.0,0.0,0.0,,,,0
37049,22.0,15.0,0.0,0.057356374,,0.0,1.0,1.0,,0.0,1.0,0.0,de,0.0326503,1
25722,25.0,18.0,,0.067736033,3.0,0.0,1.0,,12.0,0.0,0.0,0.0,com,0.5229071,1
45997,,26.0,0.0,0.04702084,4.0,0.0,,1.0,20.0,0.0,0.0,0.0,site,,0
37740,,48.0,0.0,,,,,2.0,44.0,0.0,0.0,,com,0.5229071,0
45988,28.0,21.0,0.0,,,0.0,1.0,1.0,,0.0,0.0,,com,0.5229071,1
36831,,13.0,0.0,,2.0,0.0,0.6,1.0,53.0,0.0,0.0,0.0,,0.0129268,0
16956,35.0,19.0,0.0,0.054593335,3.0,0.0,0.6,1.0,22.0,0.0,0.0,,com,0.5229071,0
221,47.0,,0.0,0.049656908,,0.0,,3.0,25.0,0.0,0.0,,top,0.0002752,0
339,,23.0,0.0,0.06262237,3.0,0.0,1.0,1.0,17.0,0.0,3.0,0.0,com,0.5229071,1
22646,24.0,17.0,0.0,,,0.0,0.8,2.0,10.0,0.0,0.0,,kr,0.0022733,1
24111,28.0,11.0,,0.051510847,3.0,0.0,,0.0,17.0,0.0,,,com,0.5229071,0
39297,,22.0,0.0,0.064465652,3.0,0.0,1.0,1.0,16.0,,,0.0,com,0.5229071,1
29122,,23.0,0.0,0.044798453,3.0,0.0,0.684210526,1.0,18.0,0.0,0.0,0.0,app,0.001502,0
25317,23.0,16.0,0.0,,3.0,0.0,1.0,1.0,10.0,,4.0,,com,0.5229071,1
7013,,,0.0,,3.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,com,0.5229071,1
52699,,12.0,0.0,0.062050813,2.0,0.0,,1.0,6.0,0.0,0.0,0.0,nl,0.0082003,1
23526,25.0,,0.0,0.050163814,3.0,,0.666666667,1.0,12.0,0.0,0.0,0.0,com,0.5229071,0
27188,,56.0,0.0,,,0.0,0.211538462,,54.0,0.0,2.0,0.0,com,,0
53246,18.0,,0.0,,,0.0,1.0,1.0,5.0,,0.0,0.0,org,,1
29942,30.0,23.0,0.0,0.062314549,3.0,0.0,1.0,1.0,17.0,0.0,,0.0,gov,,1
11126,,15.0,0.0,0.024552492,3.0,0.0,,1.0,3.0,,,,com,,0
23594,,15.0,0.0,,2.0,0.0,1.0,1.0,,0.0,2.0,0.0,se,0.0040185,1
20472,,18.0,0.0,,,,1.0,1.0,,0.0,0.0,0.0,world,0.0002282,0
10206,,28.0,0.0,0.061102752,,,,1.0,22.0,,0.0,,com,,1
23771,,11.0,0.0,0.046209227,3.0,0.0,1.0,1.0,,,2.0,,edu,0.0115013,1
4488,27.0,,,0.05353745,4.0,,1.0,1.0,,0.0,0.0,,live,0.0003718,0
1176,27.0,20.0,0.0,0.069023827,2.0,0.0,0.846153846,2.0,13.0,0.0,0.0,,,,1
1937,18.0,12.0,,,,0.0,1.0,,5.0,0.0,0.0,,,0.0326503,0
24685,25.0,18.0,0.0,,3.0,0.0,1.0,1.0,,,1.0,0.0,com,,1
37719,,,0.0,0.056382657,3.0,,,1.0,13.0,0.0,1.0,0.0,edu,0.0115013,1
26098,32.0,25.0,0.0,,3.0,,1.0,1.0,,0.0,2.0,0.0,com,,1
40703,28.0,,0.0,0.071591601,3.0,0.0,1.0,1.0,15.0,0.0,0.0,0.0,com,0.5229071,1
31050,158.0,15.0,,0.03525615,3.0,0.0,0.909090909,1.0,115.0,0.0,0.0,0.0,com,0.5229071,0
35324,22.0,,0.0,0.062619672,2.0,,,1.0,,0.0,0.0,0.0,eu,0.0056158,1
48467,33.0,,0.0,0.044063509,3.0,0.0,0.80952381,1.0,16.0,0.0,0.0,0.0,com,0.5229071,0
38992,,20.0,,,3.0,0.0,0.666666667,,10.0,0.0,0.0,0.0,com,,0
23337,22.0,,,0.056794667,2.0,0.0,0.75,2.0,7.0,0.0,70.0,0.0,il,0.0013543,1
250,,14.0,,0.065480697,3.0,0.0,1.0,,8.0,0.0,0.0,,org,0.0799628,1
8613,,17.0,0.0,0.057884991,,0.0,,,10.0,0.0,5.0,0.0,jp,0.0230451,1
43705,,14.0,,0.063852837,3.0,0.0,1.0,1.0,8.0,0.0,,0.0,com,0.5229071,1
23645,26.0,19.0,0.0,0.065264025,3.0,0.0,1.0,1.0,,0.0,,0.0,org,0.0799628,1
3726,21.0,14.0,0.0,,3.0,,1.0,1.0,8.0,0.0,0.0,,org,0.0799628,1
14411,21.0,14.0,0.0,0.036458622,2.0,0.0,0.571428571,2.0,7.0,0.0,,0.0,ua,0.0023239,1
4535,22.0,15.0,0.0,0.060247507,,0.0,1.0,1.0,9.0,,2.0,0.0,be,0.0033189,1
48219,,18.0,,,,0.0,,1.0,16.0,0.0,0.0,0.0,co,0.0059772,0
16616,88.0,61.0,0.0,0.063609273,,0.0,0.547169811,3.0,69.0,,0.0,0.0,top,0.0002752,0
50013,26.0,19.0,0.0,0.071418253,3.0,0.0,1.0,1.0,13.0,0.0,,0.0,com,,1
8966,19.0,13.0,,0.034896305,2.0,0.0,1.0,1.0,7.0,0.0,,,ga,,0
38297,,18.0,0.0,0.065536327,,,,1.0,12.0,0.0,1.0,0.0,com,0.5229071,1
44280,21.0,,0.0,0.037864619,,0.0,1.0,1.0,6.0,0.0,0.0,0.0,com,0.5229071,1
11047,33.0,26.0,0.0,0.061409954,3.0,0.0,0.611111111,2.0,19.0,0.0,4.0,0.0,mil,0.0002984,1
26519,42.0,34.0,,,2.0,0.0,,,31.0,0.0,,0.0,co,0.0059772,0
32933,24.0,17.0,,,3.0,0.0,1.0,1.0,11.0,0.0,4.0,0.0,com,0.5229071,1
25289,29.0,,0.0,0.057075719,3.0,0.0,1.0,1.0,16.0,0.0,19.0,0.0,,,1
20154,55.0,47.0,0.0,0.026872697,,0.0,0.204545455,,,0.0,,0.0,co,0.0059772,0
8506,26.0,,0.0,,4.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,buzz,3.43e-05,0
49241,24.0,18.0,0.0,0.068186343,,0.0,1.0,1.0,12.0,0.0,0.0,,org,,0
31843,26.0,20.0,,0.015070492,,0.0,0.923076923,2.0,6.0,0.0,0.0,0.0,,,0
20892,27.0,20.0,,0.043591474,2.0,,,,12.0,0.0,0.0,0.0,us,0.0045585,1
15732,22.0,,0.0,0.060096499,3.0,,1.0,1.0,9.0,0.0,,,com,0.5229071,1
21912,23.0,16.0,0.0,0.056400859,3.0,,1.0,1.0,10.0,0.0,,0.0,org,,1
39398,21.0,,0.0,0.042876326,,,1.0,1.0,8.0,0.0,1.0,0.0,jp,0.0230451,1
41067,29.0,21.0,0.0,0.030397021,,0.0,,1.0,14.0,0.0,0.0,0.0,app,,0
48485,20.0,13.0,0.0,0.054502219,,0.0,,2.0,6.0,,,0.0,ca,0.0101825,1
47298,,22.0,,,3.0,0.0,0.611111111,1.0,54.0,0.0,0.0,0.0,com,0.5229071,0
12267,34.0,,0.0,0.045748952,3.0,,0.80952381,1.0,,0.0,0.0,0.0,com,0.5229071,0
36924,29.0,22.0,0.0,0.058522626,3.0,,1.0,,16.0,0.0,4.0,0.0,,0.0384199,1
28859,33.0,21.0,0.0,0.040836912,3.0,0.0,0.705882353,,17.0,0.0,,,app,,0
16581,18.0,,0.0,0.052645009,2.0,0.0,1.0,1.0,,0.0,,0.0,sh,0.0003027,0
34889,31.0,24.0,,0.060164638,,,1.0,1.0,18.0,0.0,0.0,0.0,,0.5229071,1
9088,29.0,22.0,0.0,0.064851599,3.0,,1.0,1.0,16.0,,,,com,,1
50059,23.0,17.0,0.0,,,0.0,1.0,1.0,11.0,0.0,0.0,0.0,cf,0.0001858,0
42244,,21.0,0.0,0.0538349,3.0,,1.0,,15.0,,,0.0,,,1
42697,23.0,,0.0,,2.0,0.0,0.8,1.0,10.0,0.0,0.0,,gq,5.3e-05,0
3791,26.0,19.0,0.0,,2.0,0.0,1.0,1.0,13.0,0.0,2.0,,nl,0.0082003,1
874,28.0,21.0,0.0,0.064875198,2.0,0.0,,1.0,14.0,0.0,0.0,0.0,de,0.0326503,1
53859,58.0,29.0,0.0,0.045366488,,0.0,0.769230769,,,0.0,1.0,0.0,ru,0.0180132,0
46566,,,0.0,0.060299371,2.0,0.0,,2.0,44.0,0.0,0.0,0.0,co,0.0059772,0
40749,26.0,19.0,0.0,0.053446568,3.0,0.0,1.0,1.0,13.0,0.0,,0.0,com,,1
25228,30.0,23.0,0.0,0.061381145,3.0,0.0,1.0,1.0,,0.0,3.0,0.0,com,0.5229071,1
41230,,,0.0,0.05968929,3.0,0.0,0.285714286,3.0,31.0,0.0,0.0,,,0.0002752,0
38284,21.0,14.0,0.0,0.063686382,3.0,,1.0,1.0,8.0,0.0,6.0,,com,0.5229071,1
4839,40.0,33.0,0.0,,,0.0,,2.0,30.0,0.0,0.0,,co,0.0059772,0
44240,24.0,,0.0,,3.0,0.0,1.0,1.0,11.0,0.0,,0.0,com,0.5229071,1
18436,40.0,32.0,0.0,0.039987018,,0.0,0.892857143,1.0,23.0,0.0,0.0,0.0,app,0.001502,0
32204,22.0,15.0,0.0,0.060472207,,0.0,,,9.0,0.0,0.0,,,0.5229071,1
14973,22.0,15.0,0.0,0.065587673,,0.0,1.0,1.0,9.0,0.0,0.0,0.0,,0.0384199,1
39632,23.0,16.0,0.0,0.043321675,4.0,0.0,1.0,,9.0,,0.0,,info,0.0075051,0
15958,,18.0,0.0,0.060475003,,0.0,1.0,0.0,,0.0,0.0,0.0,com,0.5229071,0
25133,27.0,20.0,0.0,0.059975014,,0.0,,1.0,14.0,0.0,0.0,,,0.0022172,1
816,,,0.0,0.048612863,2.0,0.0,,2.0,7.0,0.0,,0.0,ph,0.0004928,1
55430,19.0,13.0,0.0,,3.0,,1.0,,4.0,0.0,,,com,,0
33310,21.0,,,0.064581724,3.0,0.0,1.0,1.0,8.0,0.0,,,com,0.5229071,1
38570,18.0,11.0,0.0,0.025871045,2.0,0.0,,,4.0,,,,jp,,1
19123,28.0,21.0,0.0,0.063951908,3.0,0.0,1.0,1.0,15.0,0.0,2.0,0.0,com,,1
12094,28.0,,0.0,0.059241882,3.0,0.0,,1.0,,0.0,0.0,,com,0.5229071,0
36349,,,0.0,0.065681679,3.0,0.0,1.0,1.0,8.0,0.0,0.0,,org,0.0799628,1
48484,29.0,22.0,0.0,0.059199804,3.0,0.0,,1.0,16.0,,,0.0,com,0.5229071,1
1304,,10.0,0.0,0.046517947,,0.0,1.0,1.0,,0.0,1.0,,ch,,1
28179,,27.0,0.0,0.05519809,3.0,0.0,1.0,,,0.0,0.0,0.0,com,0.5229071,1
22301,34.0,26.0,0.0,,3.0,0.0,0.409090909,1.0,21.0,,0.0,,app,,0
30177,22.0,15.0,0.0,0.066077054,2.0,0.0,1.0,1.0,,0.0,2.0,,se,,1
42484,,14.0,0.0,0.07139671,3.0,0.0,1.0,1.0,8.0,0.0,4.0,0.0,org,0.0799628,1
46402,32.0,25.0,0.0,,3.0,0.0,1.0,1.0,,,2.0,,com,0.5229071,1
44313,26.0,19.0,0.0,,3.0,0.0,0.636363636,1.0,,0.0,0.0,0.0,,0.5229071,1
32537,,16.0,0.0,,,0.0,0.916666667,1.0,32.0,0.0,0.0,0.0,com,0.5229071,0
39231,31.0,,0.0,,2.0,0.0,0.882352941,2.0,17.0,,,0.0,uk,0.028555,1
28791,33.0,,0.0,0.066067755,3.0,,1.0,1.0,20.0,,3.0,0.0,org,0.0799628,1
21596,26.0,19.0,0.0,0.06420884,,0.0,1.0,1.0,13.0,0.0,12.0,0.0,com,,1
9225,31.0,25.0,0.0,0.062677903,3.0,0.0,1.0,1.0,,,0.0,0.0,com,0.5229071,0
30377,34.0,26.0,0.0,,,0.0,0.590909091,1.0,21.0,0.0,,0.0,com,0.5229071,0
20410,19.0,12.0,0.0,0.049323431,3.0,0.0,1.0,1.0,6.0,,,0.0,org,0.0799628,1
18275,55.0,47.0,0.0,0.024771787,2.0,,0.204545455,2.0,16.0,,0.0,0.0,,,0
44817,21.0,15.0,0.0,0.070468886,3.0,0.0,1.0,,9.0,0.0,0.0,0.0,,0.5229071,0
30197,,17.0,0.0,0.055190431,3.0,0.0,1.0,1.0,11.0,,0.0,,com,0.5229071,0
53151,,,0.0,,3.0,,1.0,1.0,20.0,,,,com,0.5229071,1
45968,27.0,20.0,0.0,,3.0,,1.0,,,0.0,0.0,0.0,org,0.0799628,1
34565,24.0,17.0,0.0,0.061031822,2.0,0.0,1.0,,11.0,0.0,0.0,0.0,es,,1
579,,31.0,0.0,,3.0,0.0,0.740740741,1.0,31.0,0.0,0.0,0.0,com,0.5229071,0
13476,35.0,26.0,0.0,0.049182775,3.0,,0.636363636,,20.0,0.0,0.0,0.0,com,0.5229071,0
11885,29.0,22.0,,0.062619082,3.0,0.0,,1.0,15.0,,2.0,,,,1
51029,72.0,,0.0,0.058878292,2.0,,0.388888889,2.0,57.0,0.0,0.0,0.0,pl,0.0069695,0
18132,25.0,18.0,,0.05503055,3.0,0.0,0.7,2.0,,,0.0,0.0,edu,,1
55222,25.0,18.0,0.0,0.069235511,,0.0,1.0,1.0,12.0,0.0,0.0,0.0,com,0.5229071,1
4314,,,0.0,0.06084825,3.0,0.0,0.588235294,1.0,18.0,0.0,0.0,0.0,org,,1
21639,,19.0,0.0,0.062395331,,0.0,0.75,2.0,12.0,0.0,7.0,0.0,br,,1
34324,28.0,21.0,0.0,,2.0,0.0,,2.0,14.0,0.0,0.0,0.0,,0.028555,1
11472,19.0,13.0,,0.045677187,2.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,,0.0001858,0
46770,22.0,15.0,,0.073801173,3.0,0.0,1.0,1.0,9.0,0.0,0.0,,com,0.5229071,1
21065,28.0,21.0,0.0,,3.0,0.0,1.0,1.0,15.0,0.0,,,org,0.0799628,1
47143,,51.0,0.0,0.050878917,3.0,,0.29787234,3.0,,,1.0,0.0,com,0.5229071,0
21040,25.0,19.0,0.0,,3.0,,1.0,1.0,13.0,0.0,0.0,0.0,,0.5229071,0
8515,19.0,12.0,0.0,0.06472748,2.0,0.0,1.0,1.0,,,,0.0,de,0.0326503,1
35714,57.0,,,0.045289815,3.0,0.0,1.0,0.0,45.0,0.0,,0.0,,0.5229071,0
37297,,,,0.065106381,3.0,0.0,1.0,1.0,16.0,0.0,,,com,,1
13435,41.0,32.0,,0.039784818,3.0,0.0,0.5,1.0,22.0,0.0,0.0,0.0,,0.001502,0
50680,43.0,34.0,0.0,,2.0,0.0,0.483870968,2.0,30.0,0.0,,0.0,co,,0
46614,128.0,21.0,0.0,0.033855989,,0.0,0.588235294,,,0.0,0.0,,app,0.001502,0
50483,27.0,21.0,0.0,0.063472107,3.0,0.0,,1.0,15.0,,0.0,0.0,com,0.5229071,0
28217,28.0,,0.0,,3.0,,1.0,1.0,15.0,0.0,0.0,0.0,com,0.5229071,1
21729,,17.0,0.0,0.070383295,3.0,0.0,1.0,1.0,,,0.0,0.0,,0.5229071,1
46860,104.0,,0.029,0.036618921,4.0,1.0,0.304347826,2.0,72.0,,,3.0,link,0.0003306,0
8358,41.0,33.0,0.0,0.046117673,3.0,0.0,0.448275862,2.0,26.0,0.0,0.0,,dev,,0
5175,22.0,15.0,0.0,,2.0,,0.625,2.0,,,1.0,,,0.0019933,1
52491,,22.0,,,3.0,0.0,,1.0,16.0,0.0,,0.0,com,0.5229071,1
8314,,19.0,,0.060942377,3.0,0.0,1.0,1.0,13.0,0.0,,0.0,org,0.0799628,1
13405,24.0,,0.0,0.067845071,,0.0,,1.0,,0.0,,0.0,,0.0799628,1
45277,,,0.0,,3.0,0.0,,1.0,,0.0,0.0,,com,0.5229071,1
24259,37.0,30.0,,0.052456209,2.0,,0.869565217,2.0,,0.0,1.0,0.0,,,1
1341,22.0,,0.0,0.043030696,,0.0,,,10.0,0.0,0.0,,cf,0.0001858,0
22331,24.0,17.0,0.0,0.048768026,2.0,0.0,0.5,2.0,,0.0,2.0,,,0.028555,1
20195,34.0,27.0,0.0,,3.0,0.0,,1.0,21.0,0.0,,0.0,,0.5229071,1
7402,21.0,15.0,0.0,0.066379779,,0.0,1.0,1.0,,,0.0,0.0,,0.5229071,0
55547,,13.0,0.0,0.053676902,2.0,0.0,,1.0,6.0,0.0,0.0,0.0,jp,,1
13851,23.0,16.0,0.0,0.06620115,3.0,,1.0,1.0,10.0,,0.0,0.0,com,0.5229071,1
39304,,21.0,0.0,0.062770921,3.0,0.0,1.0,,15.0,0.0,19.0,0.0,com,0.5229071,1
14589,35.0,28.0,0.0,0.044719144,,0.0,0.708333333,1.0,19.0,0.0,0.0,0.0,,0.5229071,0
50241,,13.0,0.0,0.052178614,3.0,0.0,,,,0.0,0.0,,com,0.5229071,0
43187,25.0,,0.0,0.061145717,2.0,0.0,1.0,1.0,12.0,0.0,,0.0,,0.0049832,1
54228,20.0,13.0,0.0,0.065517898,,0.0,1.0,1.0,7.0,0.0,,0.0,com,0.5229071,1
48992,22.0,,,0.047407492,2.0,0.0,1.0,,9.0,0.0,0.0,,dk,,1
23706,,15.0,0.0,,2.0,0.0,1.0,1.0,9.0,,,0.0,ru,,1
28647,27.0,,0.0,0.072233372,2.0,,0.785714286,2.0,14.0,0.0,0.0,0.0,au,0.0100856,0
38647,25.0,18.0,,,3.0,0.0,1.0,1.0,12.0,0.0,,,com,0.5229071,1
17648,32.0,25.0,,,,,1.0,1.0,19.0,0.0,1.0,0.0,,0.0799628,1
53484,22.0,15.0,0.0,0.063674467,2.0,,1.0,,9.0,0.0,2.0,0.0,jp,0.0230451,1
54777,,16.0,0.0,0.055613606,3.0,0.0,1.0,,10.0,0.0,0.0,0.0,,0.5229071,0
52128,25.0,18.0,0.0,0.064681625,,0.0,,1.0,12.0,0.0,0.0,,org,0.0799628,1
45780,28.0,21.0,,,2.0,0.0,,2.0,14.0,0.0,0.0,0.0,uk,,1
5592,25.0,,0.0,,,,,1.0,12.0,0.0,1.0,,com,0.5229071,1
27484,,27.0,0.0,,2.0,0.0,1.0,,21.0,0.0,0.0,,,0.0033189,1
41799,60.0,45.0,0.0,0.045586864,3.0,0.0,0.268292683,4.0,32.0,,0.0,0.0,com,0.5229071,0
13970,92.0,76.0,0.0,0.0379757,3.0,0.0,0.319444444,2.0,,0.0,,,com,0.5229071,0
51547,29.0,22.0,0.0,0.054986529,,,1.0,1.0,14.0,0.0,2.0,0.0,com,0.5229071,1
19910,25.0,18.0,0.0,0.061853451,,,0.818181818,1.0,11.0,0.0,,0.0,pt,0.0015361,1
43149,84.0,,0.0,0.056654616,3.0,,0.4,2.0,,0.0,0.0,0.0,com,0.5229071,0
29586,28.0,21.0,0.0,0.061545335,3.0,0.0,1.0,1.0,15.0,0.0,6.0,0.0,,0.5229071,1
14062,,21.0,0.0,0.059244611,2.0,0.0,0.785714286,2.0,14.0,0.0,6.0,,au,0.0100856,1
32403,19.0,12.0,0.0,0.070431684,2.0,0.0,0.8,,,0.0,,,ru,0.0180132,1
19214,,16.0,0.0,0.06250621,3.0,0.0,,,30.0,0.0,0.0,0.0,com,0.5229071,0
5800,32.0,25.0,,,,0.0,,1.0,19.0,0.0,0.0,0.0,com,,1
50759,34.0,,0.0,,3.0,0.0,,1.0,,0.0,,,com,0.5229071,0
1915,21.0,,0.0,0.057770007,2.0,,,1.0,8.0,0.0,1.0,0.0,gr,0.0016589,1
17178,26.0,19.0,0.0,0.050120871,2.0,,0.75,2.0,12.0,0.0,0.0,,uk,0.028555,1
50596,,19.0,0.0,0.060763574,3.0,0.0,1.0,0.0,34.0,0.0,0.0,0.0,com,0.5229071,0
24563,19.0,,,,2.0,,1.0,1.0,,0.0,9.0,,de,0.0326503,1
51107,27.0,21.0,0.0,,3.0,0.0,0.538461538,3.0,13.0,0.0,0.0,0.0,com,,0
